Parity,Head,Tail,Close
SUPERBTC,SUPER,BTC,0.00000422
SUPERBUSD,SUPER,BUSD,0.10900000
SUPERUSDT,SUPER,USDT,0.10920000
CFXBTC,CFX,BTC,0.00000715
CFXBUSD,CFX,BUSD,0.18480000
CFXUSDT,CFX,USDT,0.18470000
EOSTRY,EOS,TRY,16.06000000
LTCGBP,LTC,GBP,61.73000000
RVNTRY,RVN,TRY,0.39370000
THETAEUR,THETA,EUR,0.60000000
XVGBUSD,XVG,BUSD,0.00155200
TKOBTC,TKO,BTC,0.00000890
TKOBIDR,TKO,BIDR,3392.64
TKOBUSD,TKO,BUSD,0.22850000
TKOUSDT,TKO,USDT,0.22850000
PUNDIXETH,PUNDIX,ETH,0.00018720
PUNDIXUSDT,PUNDIX,USDT,0.32700000
WINEUR,WIN,EUR,0.00005890
TLMBTC,TLM,BTC,0.00000039
TLMBUSD,TLM,BUSD,0.01027000
TLMUSDT,TLM,USDT,0.01026000
HOTBUSD,HOT,BUSD,0.00126800
BNBUAH,BNB,UAH,9156.00000000
ONTTRY,ONT,TRY,3.94800000
VETEUR,VET,EUR,0.01495000
VETGBP,VET,GBP,0.01278000
WINBRL,WIN,BRL,0.00031000
BARBUSD,BAR,BUSD,2.34000000
BARUSDT,BAR,USDT,2.34000000
FORTHBTC,FORTH,BTC,0.00008490
FORTHBUSD,FORTH,BUSD,2.20200000
FORTHUSDT,FORTH,USDT,2.21500000
BAKEUSDT,BAKE,USDT,0.09790000
BURGERBUSD,BURGER,BUSD,0.36460000
BURGERUSDT,BURGER,USDT,0.36320000
SLPBUSD,SLP,BUSD,0.00156000
SLPUSDT,SLP,USDT,0.00156000
TRXEUR,TRX,EUR,0.06696000
VETTRY,VET,TRY,0.38430000
SHIBUSDT,SHIB,USDT,0.00000677
SHIBBUSD,SHIB,BUSD,0.00000678
ICPBTC,ICP,BTC,0.00015180
ICPBNB,ICP,BNB,0.01634000
ICPBUSD,ICP,BUSD,3.92800000
ICPUSDT,ICP,USDT,3.92400000
SHIBEUR,SHIB,EUR,0.00000630
ETCEUR,ETC,EUR,14.15000000
DOGEBIDR,DOGE,BIDR,915.00
ARBTC,ARB,TC,0.00020020
ARBUSD,ARB,USD,5.17000000
ARUSDT,AR,USDT,5.17000000
POLSBTC,POLS,BTC,0.00001057
POLSBNB,POLS,BNB,0.00114500
POLSBUSD,POLS,BUSD,0.27500000
POLSUSDT,POLS,USDT,0.27500000
MDXBTC,MDX,BTC,0.00000219
MDXBUSD,MDX,BUSD,0.05680000
MDXUSDT,MDX,USDT,0.05690000
MASKBNB,MASK,BNB,0.01497000
MASKBUSD,MASK,BUSD,3.60200000
MASKUSDT,MASK,USDT,3.59800000
LPTBTC,LPT,BTC,0.00014860
LPTBNB,LPT,BNB,0.01598000
LPTBUSD,LPT,BUSD,3.85000000
LPTUSDT,LPT,USDT,3.86000000
ETHUAH,ETH,UAH,66430.00000000
MATICBRL,MATIC,BRL,3.15000000
SOLEUR,SOL,EUR,13.97000000
SHIBBRL,SHIB,BRL,0.00003317
AGIXBTC,AGIX,BTC,0.00000791
ICPEUR,ICP,EUR,3.65400000
MATICGBP,MATIC,GBP,0.51420000
SHIBTRY,SHIB,TRY,0.00016186
MATICBIDR,MATIC,BIDR,9566.00
MATICRUB,MATIC,RUB,54.60000000
XVGUSDT,XVG,USDT,0.00155300
CELRBUSD,CELR,BUSD,0.01522000
ATMBUSD,ATM,BUSD,2.51100000
ZENBUSD,ZEN,BUSD,6.28000000
FTMBUSD,FTM,BUSD,0.26110000
THETABUSD,THETA,BUSD,0.64400000
WINBUSD,WIN,BUSD,0.00006320
KAVABUSD,KAVA,BUSD,0.80600000
ATABTC,ATA,BTC,0.00000348
ATABUSD,ATA,BUSD,0.09030000
ATAUSDT,ATA,USDT,0.09030000
GTCBTC,GTC,BTC,0.00003720
GTCBUSD,GTC,BUSD,0.96200000
GTCUSDT,GTC,USDT,0.96500000
TORNBUSD,TORN,BUSD,3.47000000
MATICTRY,MATIC,TRY,15.38600000
SOLGBP,SOL,GBP,11.97000000
BAKEBTC,BAKE,BTC,0.00000378
COTIBUSD,COTI,BUSD,0.04630000
SOLTRY,SOL,TRY,358.60000000
RUNEGBP,RUNE,GBP,0.66900000
SOLBRL,SOL,BRL,73.50000000
SCBUSD,SC,BUSD,0.00269000
CHRBUSD,CHR,BUSD,0.11890000
STMXBUSD,STMX,BUSD,0.00347100
FTTBUSD,FTT,BUSD,0.81360000
DOCKBUSD,DOCK,BUSD,0.01423000
ADABIDR,ADA,BIDR,4083.00
ERNBUSD,ERN,BUSD,1.52800000
ERNUSDT,ERN,USDT,1.52600000
KLAYBTC,KLAY,BTC,0.00000592
KLAYBNB,KLAY,BNB,0.00063800
KLAYBUSD,KLAY,BUSD,0.15330000
KLAYUSDT,KLAY,USDT,0.15330000
RUNEEUR,RUNE,EUR,0.79400000
DOTRUB,DOT,RUB,390.80000000
UTKBUSD,UTK,BUSD,0.06910000
IOTXBUSD,IOTX,BUSD,0.01769000
PHAUSDT,PHA,USDT,0.09630000
SOLRUB,SOL,RUB,1273.00000000
BUSDUAH,BUSD,UAH,38.09000000
BONDBTC,BOND,BTC,0.00010810
BONDBUSD,BOND,BUSD,2.80300000
BONDUSDT,BOND,USDT,2.80900000
MLNBTC,MLN,BTC,0.00060100
MLNBUSD,MLN,BUSD,15.53000000
MLNUSDT,MLN,USDT,15.55000000
